Crop,Disease,Temperature(C),Humidity(%),Rainfall(mm),Soil_pH,Soil_Moisture(%),Leaf_Spots,Wilting
Soybean,Healthy,27.4,33,160,5.9,39,0,0
Banana,Healthy,38.3,91,233,6.1,56,0,0
Maize,Downy Mildew,30.9,49,312,6.2,30,0,0
Tomato,Healthy,41.4,73,7,5.9,47,0,0
Cotton,Healthy,41.5,88,4,8.1,32,1,1
Grapes,Downy Mildew,40.0,31,400,7.1,72,1,1
Grapes,Powdery Mildew,33.5,42,206,6.1,89,1,1
Cotton,Healthy,36.0,65,381,6.8,66,0,0
Maize,Downy Mildew,29.1,56,38,7.5,70,1,1
Sugarcane,Red Rot,16.9,69,2,7.7,45,1,0
Banana,Sigatoka,30.2,89,378,8.0,50,1,0
Chilli,Leaf Curl,30.3,30,265,5.7,88,1,1
Cotton,Leaf Curl Virus,22.3,57,160,8.0,42,0,0
Soybean,Rust,34.8,54,375,7.4,19,0,1
Cotton,Boll Rot,30.0,40,339,5.0,67,1,1
Rice,Healthy,17.6,65,95,7.2,47,1,0
Potato,Healthy,16.8,49,235,6.8,79,0,0
Potato,Early Blight,32.1,74,9,8.0,83,1,0
Sugarcane,Smut,30.2,38,185,6.2,18,1,1
Banana,Sigatoka,43.4,60,38,6.4,34,1,0
Cotton,Leaf Curl Virus,17.7,40,208,5.9,26,1,1
Groundnut,Healthy,27.7,52,190,8.0,40,0,0
Tomato,Late Blight,21.9,74,146,5.6,34,0,1
Onion,Healthy,26.8,87,176,5.5,40,0,0
Onion,Healthy,36.0,90,356,5.4,78,0,0
Mango,Healthy,15.8,60,254,5.3,14,1,0
Chilli,Anthracnose,43.6,86,225,5.5,33,1,1
Mango,Powdery Mildew,36.3,40,56,5.6,34,0,1
Mango,Powdery Mildew,32.0,83,351,7.6,42,1,0
Tomato,Healthy,16.4,47,165,6.2,65,0,0
Sugarcane,Healthy,19.0,42,254,6.1,32,0,0
Maize,Leaf Blight,22.6,72,75,5.8,84,1,1
Onion,Downy Mildew,24.6,79,305,6.0,69,1,1
Grapes,Downy Mildew,26.4,38,332,5.3,81,1,1
Rice,Healthy,43.7,41,297,5.9,82,0,0
Banana,Panama Disease,34.0,85,301,6.5,31,0,0
Onion,Downy Mildew,20.1,71,386,7.4,81,1,0
Mango,Anthracnose,20.5,79,94,8.2,13,0,1
Rice,Healthy,18.4,50,328,7.1,28,0,0
Maize,Downy Mildew,19.2,48,199,8.1,45,1,1
Grapes,Downy Mildew,29.7,84,181,7.6,47,1,1
Mango,Healthy,29.8,47,114,5.6,12,0,0
Sugarcane,Smut,41.1,94,160,5.5,10,1,1
Grapes,Downy Mildew,39.4,56,230,6.5,40,1,0
Sugarcane,Healthy,35.2,87,59,4.8,22,0,0
Potato,Healthy,35.1,74,107,6.3,74,0,0
Maize,Leaf Blight,19.9,64,336,7.1,53,1,0
Chilli,Anthracnose,30.7,44,15,7.0,66,1,0
Potato,Late Blight,39.7,65,254,7.1,13,1,0
Rice,Healthy,28.7,54,124,6.3,69,0,0
Wheat,Rust,41.5,92,263,5.5,15,1,1
Tomato,Healthy,22.3,52,110,5.2,20,0,0
Sugarcane,Healthy,27.6,48,310,7.9,27,1,0
Soybean,Rust,44.5,52,138,5.1,36,0,1
Apple,Fire Blight,39.2,93,337,7.5,32,1,1
Chilli,Leaf Curl,35.1,70,346,5.8,29,0,1
Soybean,Rust,24.6,92,359,7.5,32,1,1
Mango,Healthy,24.5,35,336,6.5,69,0,0
Rice,Blast,41.8,43,53,6.6,18,1,1
Grapes,Downy Mildew,21.6,95,259,5.3,38,1,1
Chilli,Healthy,40.1,71,306,7.7,71,0,0
Maize,Downy Mildew,22.7,75,207,7.9,41,0,1
Groundnut,Rust,37.3,30,161,5.8,86,1,1
Banana,Sigatoka,29.1,34,317,5.8,48,0,1
Groundnut,Tikka Disease,15.7,48,364,5.0,13,1,0
Cotton,Healthy,39.2,42,213,5.5,80,0,0
Apple,Apple Scab,19.4,71,365,7.5,60,1,1
Mango,Healthy,36.6,93,197,4.8,55,0,0
Mango,Powdery Mildew,29.0,34,322,6.3,75,0,0
Tomato,Late Blight,21.6,83,242,6.6,54,1,1
Wheat,Rust,26.7,49,254,7.7,83,1,1
Apple,Healthy,27.0,85,47,7.2,10,0,0
Chilli,Healthy,17.5,52,249,7.5,62,1,0
Mango,Healthy,43.1,76,230,4.9,14,1,0
Onion,Downy Mildew,29.3,42,4,5.9,76,1,1
Apple,Fire Blight,19.2,47,380,5.9,30,0,0
Maize,Healthy,15.8,89,190,5.2,17,1,0
Grapes,Downy Mildew,35.3,62,394,5.2,81,1,0
Groundnut,Healthy,30.3,64,182,5.9,64,0,0
Maize,Leaf Blight,35.7,62,366,6.7,45,0,0
Groundnut,Rust,22.3,91,89,8.1,38,1,1
Wheat,Powdery Mildew,39.9,87,52,6.4,44,1,1
Grapes,Downy Mildew,27.4,53,187,6.5,27,1,0
Groundnut,Tikka Disease,18.3,89,384,6.6,85,1,0
Wheat,Smut,40.1,55,287,5.3,56,1,0
Mango,Healthy,37.7,68,399,6.7,27,0,0
Cotton,Leaf Curl Virus,25.0,39,322,5.3,84,1,1
Potato,Early Blight,31.3,32,373,6.2,70,1,1
Tomato,Late Blight,15.8,95,298,6.3,63,0,0
Banana,Sigatoka,24.1,62,313,5.9,12,1,1
Soybean,Healthy,35.0,86,75,5.4,43,0,0
Mango,Powdery Mildew,36.9,58,156,6.5,43,1,1
Banana,Panama Disease,29.6,65,152,6.3,45,1,1
Chilli,Healthy,18.2,90,2,5.6,41,0,0
Apple,Fire Blight,19.7,80,255,7.2,88,1,1
Rice,Healthy,26.5,87,158,6.1,35,0,0
Maize,Leaf Blight,26.9,87,51,4.9,78,1,1
Cotton,Healthy,16.7,40,136,6.2,79,0,0
Onion,Purple Blotch,40.8,55,224,5.9,66,1,1
Soybean,Rust,36.8,72,299,5.4,24,1,1
Wheat,Smut,30.1,53,308,6.8,50,1,0
Banana,Sigatoka,32.3,74,62,7.5,63,1,1
Chilli,Leaf Curl,36.6,34,155,5.5,71,1,1
Onion,Downy Mildew,38.5,85,361,8.2,18,1,1
Chilli,Anthracnose,32.2,81,88,5.2,29,0,0
Apple,Apple Scab,26.0,63,57,5.2,89,1,1
Cotton,Leaf Curl Virus,26.6,45,192,7.3,85,1,1
Sugarcane,Red Rot,16.6,83,332,6.4,37,1,1
Soybean,Bacterial Blight,36.7,71,131,8.0,63,0,0
Mango,Healthy,32.9,73,106,4.9,62,0,0
Sugarcane,Healthy,21.6,55,343,6.2,39,0,0
Tomato,Septoria Leaf Spot,35.1,51,221,6.0,59,0,1
Apple,Apple Scab,28.7,42,263,6.1,79,1,1
Cotton,Leaf Curl Virus,32.5,95,83,8.1,55,1,1
Banana,Healthy,41.7,93,60,7.0,84,0,0
Sugarcane,Smut,26.6,70,78,6.4,75,1,0
Potato,Early Blight,22.8,75,230,5.2,66,1,0
Potato,Healthy,35.5,49,375,7.3,28,0,0
Soybean,Bacterial Blight,35.0,84,321,5.1,32,0,1
Wheat,Smut,29.5,80,168,6.3,43,0,0
Cotton,Boll Rot,25.8,35,44,5.9,48,1,0
Groundnut,Healthy,18.0,68,82,5.1,50,0,1
Potato,Early Blight,21.5,30,366,5.1,18,1,1
Soybean,Healthy,20.5,54,289,5.4,59,0,1
Chilli,Leaf Curl,36.8,42,377,6.8,14,0,1
Maize,Downy Mildew,27.5,38,36,6.4,59,1,1
Rice,Bacterial Leaf Blight,27.0,35,254,6.6,73,1,1
Maize,Healthy,20.4,52,241,6.5,50,0,0
Soybean,Rust,17.6,92,229,5.7,46,1,0
Grapes,Powdery Mildew,23.5,60,293,5.0,25,1,1
Wheat,Powdery Mildew,32.3,48,361,6.4,83,1,1
Cotton,Boll Rot,24.6,44,351,6.9,42,1,1
Potato,Late Blight,31.9,58,315,6.2,40,1,1
Onion,Downy Mildew,16.2,56,391,7.4,38,1,1
Cotton,Boll Rot,25.7,54,280,7.8,24,0,1
Onion,Downy Mildew,25.9,56,38,8.1,51,0,1
Cotton,Boll Rot,21.9,83,130,5.8,43,1,1
Groundnut,Healthy,36.0,58,397,5.9,51,0,1
Maize,Healthy,21.3,32,18,5.4,82,1,0
Apple,Healthy,26.1,88,313,6.4,31,0,0
Tomato,Septoria Leaf Spot,33.9,83,197,6.7,22,0,0
Tomato,Late Blight,18.0,65,114,7.3,19,1,1
Chilli,Healthy,16.4,35,27,5.3,66,0,0
Rice,Blast,29.1,62,147,6.8,81,1,0
Wheat,Smut,20.4,36,169,7.9,41,1,1
Groundnut,Healthy,33.4,39,61,6.3,73,0,0
Onion,Purple Blotch,37.1,94,349,6.5,77,1,1
Chilli,Anthracnose,30.4,87,259,5.0,12,1,1
Sugarcane,Red Rot,34.3,43,334,8.0,34,1,1
Mango,Powdery Mildew,18.0,34,171,6.7,87,1,1
Onion,Purple Blotch,29.5,36,299,5.6,47,1,0
Onion,Purple Blotch,39.8,50,241,8.0,87,1,1
Banana,Panama Disease,40.7,46,156,6.5,65,1,1
Apple,Fire Blight,18.3,37,338,7.3,10,1,1
Chilli,Healthy,42.5,66,180,8.2,57,0,0
Soybean,Healthy,21.8,38,52,7.9,40,1,0
Banana,Healthy,22.7,52,33,6.2,18,0,0
Banana,Healthy,44.8,85,208,8.1,35,0,1
Grapes,Powdery Mildew,16.3,82,384,5.1,86,1,1
Banana,Sigatoka,34.4,60,278,6.0,89,1,0
Tomato,Early Blight,42.1,50,35,5.3,23,0,1
Tomato,Healthy,30.9,95,177,6.6,50,1,0
Chilli,Anthracnose,26.1,37,219,6.8,13,1,1
Soybean,Healthy,20.9,69,211,7.7,85,0,0
Rice,Blast,42.9,62,1,5.7,49,1,0
Rice,Bacterial Leaf Blight,42.9,75,326,7.2,75,0,1
Soybean,Healthy,24.4,76,120,6.1,50,1,0
Potato,Late Blight,31.5,40,16,6.5,67,1,1
Rice,Brown Spot,40.0,92,328,5.9,10,0,1
Banana,Panama Disease,36.9,49,274,5.8,38,1,0
Tomato,Healthy,37.9,47,209,8.1,50,0,0
Rice,Brown Spot,37.4,44,52,5.1,85,1,0
Wheat,Smut,27.9,80,329,7.9,16,1,1
Wheat,Smut,32.4,32,97,5.0,26,1,1
Maize,Healthy,31.1,60,206,5.7,51,0,0
Maize,Healthy,22.6,54,122,5.1,81,0,1
Onion,Healthy,19.6,93,254,8.1,80,0,0
Apple,Apple Scab,41.1,76,374,4.9,36,1,1
Tomato,Late Blight,27.9,43,79,5.9,31,1,0
Chilli,Leaf Curl,33.8,89,109,6.5,76,1,0
Mango,Healthy,23.9,35,300,7.9,56,1,0
Rice,Healthy,26.3,38,386,7.5,35,0,0
Cotton,Boll Rot,28.0,34,364,7.8,12,1,1
Apple,Apple Scab,17.7,94,74,7.6,32,1,1
Banana,Panama Disease,26.5,43,172,6.2,34,1,1
Rice,Bacterial Leaf Blight,41.1,87,238,8.0,44,0,0
Grapes,Downy Mildew,35.1,57,202,6.3,50,1,1
Chilli,Leaf Curl,16.4,30,228,5.3,19,1,1
Sugarcane,Healthy,23.8,39,293,4.8,63,0,0
Mango,Anthracnose,41.2,82,270,5.6,17,1,0
Grapes,Downy Mildew,42.2,75,30,5.8,37,1,1
Potato,Early Blight,28.8,67,133,6.2,55,0,0
Potato,Early Blight,24.7,36,39,6.1,10,1,1
Grapes,Healthy,30.7,47,309,6.9,38,0,0
Sugarcane,Smut,17.7,75,153,7.1,30,1,1
Wheat,Healthy,16.2,82,193,5.3,14,0,0
Apple,Apple Scab,42.0,45,277,5.0,52,0,1
Rice,Blast,18.6,71,391,8.1,89,1,0
Soybean,Rust,44.5,74,201,7.8,79,1,0
Potato,Late Blight,18.4,30,106,6.6,46,1,1
Wheat,Powdery Mildew,15.5,91,264,7.6,85,1,0
Grapes,Powdery Mildew,40.7,31,356,6.5,68,0,1
Wheat,Rust,19.6,51,268,5.2,51,1,0
Mango,Anthracnose,44.6,68,271,5.7,90,1,0
Soybean,Rust,44.2,91,232,7.0,58,1,1
Soybean,Healthy,17.9,70,240,5.2,89,0,0
Potato,Healthy,27.4,50,376,5.8,63,1,0
Groundnut,Healthy,19.8,62,122,6.5,68,0,0
Chilli,Healthy,28.1,46,246,7.0,85,0,0
Groundnut,Tikka Disease,37.6,54,223,7.5,33,1,0
Mango,Anthracnose,30.3,91,206,4.9,65,1,1
Banana,Sigatoka,18.7,55,21,7.0,85,1,0
Wheat,Powdery Mildew,35.4,53,102,7.7,44,0,1
Banana,Sigatoka,35.1,73,161,7.3,63,1,0
Onion,Downy Mildew,38.8,90,232,4.9,27,1,1
Onion,Downy Mildew,31.9,86,329,7.5,66,1,1
Chilli,Anthracnose,37.8,51,384,7.5,60,1,1
Groundnut,Healthy,32.6,43,164,5.3,52,0,0
Onion,Healthy,25.3,85,369,6.1,78,0,0
Banana,Sigatoka,43.8,45,308,7.0,45,1,0
Onion,Downy Mildew,43.5,68,207,7.9,43,1,1
Cotton,Healthy,43.2,45,327,5.9,18,0,0
Mango,Powdery Mildew,42.3,52,397,7.1,32,1,1
Maize,Healthy,16.0,83,339,5.2,18,1,0
Cotton,Leaf Curl Virus,43.3,65,266,7.3,16,0,0
Cotton,Healthy,28.1,41,357,8.0,60,0,0
Maize,Leaf Blight,18.6,44,271,7.5,49,1,0
Chilli,Leaf Curl,45.0,57,314,8.2,23,1,1
Onion,Healthy,36.9,91,305,5.2,55,0,0
Grapes,Downy Mildew,20.3,68,298,6.8,67,1,1
Onion,Healthy,17.3,38,324,7.3,22,0,0
Onion,Downy Mildew,36.7,62,144,6.3,55,1,1
Onion,Downy Mildew,21.0,73,157,7.3,77,1,1
Groundnut,Tikka Disease,20.3,51,372,6.8,76,0,1
Maize,Healthy,34.9,65,321,5.5,29,0,0
Banana,Sigatoka,35.3,90,175,7.4,37,0,1
Soybean,Healthy,29.2,32,78,4.9,54,0,0
Potato,Healthy,16.5,81,332,6.1,29,0,0
Maize,Downy Mildew,15.9,57,396,7.0,77,0,1
Apple,Apple Scab,24.5,95,281,5.5,46,1,1
Soybean,Bacterial Blight,36.7,38,240,5.4,68,1,1
Mango,Healthy,29.1,59,374,6.0,86,0,0
Onion,Downy Mildew,37.2,34,213,6.0,71,1,0
Chilli,Anthracnose,21.4,95,374,6.1,59,1,1
Banana,Panama Disease,39.9,42,177,7.9,84,0,1
Maize,Leaf Blight,19.7,73,335,5.6,64,1,1
Grapes,Powdery Mildew,24.0,51,370,5.0,22,1,1
Potato,Early Blight,40.0,44,49,5.2,73,1,1
Banana,Panama Disease,34.6,45,116,4.8,71,1,1
Potato,Late Blight,15.4,70,252,7.0,47,1,1
Grapes,Downy Mildew,23.0,61,134,7.7,11,1,1
Rice,Bacterial Leaf Blight,18.0,76,271,5.2,59,1,1
Cotton,Healthy,40.6,53,344,7.3,84,1,0
Banana,Panama Disease,21.5,86,179,5.2,66,1,1
Potato,Late Blight,42.8,71,219,5.2,89,1,1
Wheat,Healthy,22.9,95,337,7.5,77,0,0
Wheat,Powdery Mildew,37.4,79,11,6.0,23,1,1
Maize,Healthy,35.2,36,77,6.3,12,0,0
Cotton,Leaf Curl Virus,26.5,91,198,5.1,14,1,1
Banana,Sigatoka,19.7,43,60,8.1,39,1,0
Mango,Anthracnose,40.1,59,392,6.9,56,1,0
Potato,Healthy,29.6,57,358,6.5,20,0,0
Banana,Sigatoka,24.2,86,51,6.1,35,1,1
Chilli,Healthy,44.0,49,217,7.3,40,0,0
Tomato,Healthy,35.3,44,342,6.2,70,0,0
Onion,Purple Blotch,23.1,77,115,5.2,40,0,1
Rice,Healthy,27.0,54,47,6.3,80,0,0
Wheat,Healthy,44.3,54,395,6.3,32,1,0
Chilli,Anthracnose,29.3,81,164,6.0,41,1,1
Apple,Healthy,28.4,65,336,6.6,48,0,0
Chilli,Leaf Curl,21.6,50,2,5.8,67,1,1
Onion,Downy Mildew,19.1,56,89,7.7,25,0,0
Onion,Purple Blotch,42.9,32,304,7.2,85,1,1
Cotton,Healthy,22.6,53,134,5.0,33,0,0
Onion,Purple Blotch,31.4,81,87,5.2,17,1,0
Chilli,Anthracnose,32.2,41,89,6.2,67,1,1
Wheat,Healthy,26.1,73,51,6.6,42,0,0
Chilli,Healthy,29.4,58,279,7.3,48,1,0
Grapes,Downy Mildew,28.8,72,79,6.8,89,1,0
Wheat,Smut,22.3,44,259,4.9,48,1,1
Onion,Healthy,18.4,53,344,5.0,41,0,0
Wheat,Healthy,30.2,85,26,6.2,10,0,0
Tomato,Septoria Leaf Spot,35.7,67,108,7.0,70,1,0
Apple,Apple Scab,38.0,41,76,6.7,54,1,0
Tomato,Septoria Leaf Spot,35.6,68,67,7.8,76,1,1
Sugarcane,Smut,29.1,41,348,5.9,89,1,0
Banana,Sigatoka,17.4,64,394,7.9,86,1,0
Wheat,Powdery Mildew,38.8,46,272,6.1,84,1,1
Tomato,Septoria Leaf Spot,19.8,66,296,5.7,32,0,1
Maize,Leaf Blight,43.8,41,394,5.3,38,1,1
Groundnut,Tikka Disease,17.7,90,176,6.9,90,1,1
Grapes,Healthy,24.8,88,147,5.6,50,0,0
Sugarcane,Healthy,24.2,94,14,6.4,71,0,0
Wheat,Healthy,35.8,49,290,5.4,16,0,0
Onion,Purple Blotch,36.8,67,135,5.2,84,1,0
Apple,Apple Scab,40.8,32,313,7.5,65,1,1
Mango,Powdery Mildew,25.9,39,20,7.9,52,0,1
Chilli,Leaf Curl,17.1,65,58,7.7,68,1,1
Potato,Late Blight,31.8,74,347,5.7,44,0,1
Cotton,Boll Rot,15.8,77,156,6.2,35,1,1
Potato,Early Blight,24.0,61,219,6.5,28,0,1
Sugarcane,Healthy,35.4,38,178,6.2,28,0,0
Wheat,Rust,40.6,62,70,7.5,71,0,0
Potato,Early Blight,42.2,38,186,6.7,68,1,0
Maize,Leaf Blight,29.0,84,201,5.2,41,0,1
Rice,Healthy,32.1,73,143,6.3,81,0,0
Banana,Healthy,34.8,95,356,8.1,19,0,1
Apple,Apple Scab,27.8,95,39,7.9,24,1,1
Mango,Anthracnose,18.9,57,57,6.5,27,0,0
Rice,Brown Spot,37.0,79,113,5.3,38,1,1
Groundnut,Rust,25.7,30,300,6.5,67,1,1
Rice,Bacterial Leaf Blight,43.3,93,227,7.8,80,1,1
Rice,Healthy,38.2,36,5,6.6,86,0,0
Rice,Healthy,40.8,84,136,5.4,31,0,0
Mango,Anthracnose,24.2,40,193,5.9,71,0,0
Maize,Healthy,35.9,77,232,6.4,69,0,1
Banana,Sigatoka,19.9,74,201,5.5,25,1,0
Apple,Apple Scab,30.5,34,43,7.0,61,1,0
Groundnut,Healthy,19.7,91,162,7.7,84,0,1
Soybean,Rust,31.5,48,269,8.0,14,1,0
Chilli,Leaf Curl,21.4,95,153,5.2,49,1,1
Soybean,Bacterial Blight,34.9,43,181,6.2,27,1,1
Wheat,Rust,21.9,65,18,6.2,33,1,1
Chilli,Leaf Curl,31.2,74,43,6.2,76,1,1
Tomato,Septoria Leaf Spot,38.4,70,332,7.0,48,1,1
Banana,Healthy,40.8,94,22,8.0,70,0,0
Soybean,Rust,19.8,82,53,5.9,29,0,1
Grapes,Powdery Mildew,17.1,41,87,7.3,25,1,0
Maize,Downy Mildew,20.2,91,371,8.2,46,0,1
Tomato,Late Blight,40.3,95,154,5.2,16,1,1
Wheat,Smut,38.5,91,349,8.0,75,1,1
Potato,Healthy,25.6,62,181,6.8,32,0,0
Apple,Fire Blight,41.4,94,133,8.0,47,0,0
Groundnut,Tikka Disease,19.5,77,234,6.3,42,1,1
Mango,Healthy,15.4,35,37,8.2,88,0,1
Potato,Early Blight,31.6,93,188,4.9,56,0,0
Chilli,Leaf Curl,22.8,45,347,7.9,16,1,0
Apple,Fire Blight,37.0,67,245,4.8,29,1,1
Tomato,Septoria Leaf Spot,36.7,61,352,5.8,11,1,1
Onion,Downy Mildew,17.9,38,207,7.7,11,1,0
Mango,Healthy,36.7,92,249,5.2,62,0,0
Apple,Fire Blight,23.8,56,116,8.1,52,1,0
Mango,Powdery Mildew,38.2,41,104,6.9,56,1,0
Tomato,Late Blight,15.5,59,136,7.0,38,1,0
Wheat,Rust,33.6,64,265,5.4,58,1,0
Grapes,Powdery Mildew,19.4,90,156,7.5,38,1,0
Wheat,Healthy,17.9,52,82,7.4,13,0,0
Rice,Healthy,41.1,85,174,5.1,38,0,0
Maize,Leaf Blight,23.3,48,40,6.8,81,0,1
Rice,Bacterial Leaf Blight,41.8,51,374,7.0,28,1,1
Wheat,Powdery Mildew,45.0,42,386,7.2,74,1,1
Tomato,Healthy,27.9,85,106,5.5,34,0,0
Wheat,Healthy,31.0,33,382,7.9,45,0,1
Apple,Healthy,27.3,65,28,8.1,19,0,0
Apple,Apple Scab,29.3,75,316,6.7,27,1,0
Tomato,Septoria Leaf Spot,27.3,63,103,6.2,42,1,0
Groundnut,Tikka Disease,21.9,32,258,5.1,11,1,1
Sugarcane,Red Rot,20.1,76,170,5.2,53,0,1
Groundnut,Healthy,42.6,55,271,5.7,87,0,0
Apple,Fire Blight,40.6,31,292,5.6,14,1,1
Apple,Apple Scab,34.2,65,208,7.7,81,1,0
Mango,Powdery Mildew,38.7,53,347,8.0,27,1,1
Apple,Healthy,18.4,80,294,6.7,26,0,0
Grapes,Powdery Mildew,43.6,67,41,6.7,70,1,1
Mango,Healthy,36.8,35,14,7.6,68,0,1
Banana,Panama Disease,30.6,76,65,5.8,64,0,1
Potato,Late Blight,15.5,73,365,7.1,76,1,1
Mango,Healthy,26.5,68,14,7.0,25,0,0
Rice,Blast,26.3,32,191,7.6,75,1,1
Groundnut,Rust,36.0,74,377,6.6,64,0,1
Cotton,Healthy,17.7,35,118,7.0,34,1,0
Mango,Healthy,38.2,45,228,4.9,46,0,0
Apple,Fire Blight,23.0,62,208,6.6,22,1,0
Chilli,Anthracnose,24.3,55,169,6.6,26,1,1
Rice,Brown Spot,35.9,65,324,6.0,24,1,1
Maize,Healthy,41.2,74,217,5.7,50,0,1
Sugarcane,Smut,37.6,33,213,6.0,58,1,0
Onion,Downy Mildew,34.8,57,343,5.0,35,1,1
Potato,Early Blight,36.8,64,50,5.7,22,1,0
Groundnut,Healthy,37.0,62,357,5.5,78,0,0
Onion,Downy Mildew,19.9,84,224,6.3,21,1,0
Tomato,Late Blight,44.6,80,275,6.4,31,1,0
Potato,Early Blight,42.7,34,230,6.9,56,1,1
Rice,Brown Spot,24.6,81,279,5.7,56,1,1
Rice,Bacterial Leaf Blight,19.6,65,205,7.8,80,1,1
Chilli,Anthracnose,34.2,31,45,5.0,17,1,1
Wheat,Healthy,27.6,84,263,7.5,65,0,0
Wheat,Powdery Mildew,43.0,45,80,7.5,61,0,0
Wheat,Powdery Mildew,36.9,49,323,6.9,51,1,0
Cotton,Boll Rot,41.9,41,257,5.2,24,1,1
Rice,Brown Spot,39.9,37,143,7.2,74,1,0
Maize,Healthy,32.0,64,219,7.4,62,0,0
Mango,Powdery Mildew,24.5,81,178,7.7,31,1,1
Wheat,Healthy,19.3,31,138,7.3,87,0,1
Sugarcane,Red Rot,24.8,84,237,7.1,51,1,1
Apple,Fire Blight,24.8,55,263,5.8,41,1,0
Grapes,Downy Mildew,23.7,31,377,7.0,16,1,1
Sugarcane,Red Rot,43.8,60,341,5.8,34,1,1
Soybean,Rust,33.9,85,359,6.5,57,1,1
Mango,Anthracnose,34.0,66,138,8.2,29,1,1
Cotton,Boll Rot,44.7,91,1,5.2,27,1,1
Groundnut,Tikka Disease,36.9,57,17,7.7,89,1,1
Apple,Healthy,34.2,82,271,6.0,83,0,0
Soybean,Rust,43.8,35,153,7.6,48,1,1
Soybean,Healthy,32.5,64,300,5.5,55,1,0
Rice,Blast,33.7,52,9,6.1,62,1,1
Soybean,Rust,23.1,42,64,7.8,84,1,1
Potato,Late Blight,34.3,66,64,5.0,25,1,0
Maize,Healthy,35.5,44,313,8.2,39,0,1
Mango,Anthracnose,25.8,85,286,5.1,79,1,1
Cotton,Boll Rot,27.1,31,4,6.0,86,1,0
Onion,Purple Blotch,26.8,81,388,6.1,20,1,0
Apple,Apple Scab,43.2,87,305,5.4,14,1,1
Rice,Bacterial Leaf Blight,36.2,48,34,5.1,79,0,1
Tomato,Septoria Leaf Spot,41.9,76,297,7.3,78,1,0
Mango,Powdery Mildew,20.6,31,114,7.2,10,1,1
Groundnut,Tikka Disease,21.7,40,260,6.4,16,1,0
Maize,Leaf Blight,44.9,86,169,5.8,72,1,0
Soybean,Healthy,40.7,32,262,7.1,51,0,0
Onion,Purple Blotch,33.5,80,190,7.4,67,1,1
Wheat,Powdery Mildew,33.4,36,391,7.3,53,0,0
Groundnut,Rust,16.9,44,364,5.5,88,1,1
Cotton,Boll Rot,31.8,74,303,6.7,88,0,0
Rice,Bacterial Leaf Blight,21.9,38,122,7.1,47,1,1
Sugarcane,Healthy,34.4,41,75,6.3,56,0,0
Chilli,Anthracnose,27.3,44,159,7.0,88,0,1
Sugarcane,Red Rot,33.7,34,133,5.0,70,1,0
Cotton,Healthy,16.2,61,162,5.9,18,0,0
Cotton,Leaf Curl Virus,22.3,48,253,7.3,39,1,1
Grapes,Downy Mildew,25.1,70,317,6.9,88,1,0
Wheat,Rust,16.5,64,107,6.5,74,1,1
Mango,Anthracnose,31.7,50,148,6.9,29,0,0
Groundnut,Healthy,27.2,49,274,5.2,44,0,0
Tomato,Septoria Leaf Spot,23.3,38,138,5.6,60,1,1
Apple,Healthy,19.1,47,2,7.1,81,0,0
Potato,Late Blight,37.9,33,345,5.4,29,1,1
Onion,Healthy,15.5,67,316,7.1,65,0,0
Tomato,Late Blight,41.5,84,298,6.4,10,0,0
Banana,Healthy,15.4,79,301,6.8,61,0,0
Rice,Bacterial Leaf Blight,22.5,35,40,6.3,67,1,1
Rice,Blast,17.2,65,203,5.1,16,0,0
